dia,total_diario,promedio_5,var4
2020-02-22T00:00:00Z,1,1,sin semaforo
2020-02-23T00:00:00Z,1,1,sin semaforo
2020-02-24T00:00:00Z,1,1,sin semaforo
2020-02-26T00:00:00Z,1,1,sin semaforo
2020-02-27T00:00:00Z,1,1,sin semaforo
2020-02-28T00:00:00Z,2,1.2,sin semaforo
2020-02-29T00:00:00Z,2,1.4,sin semaforo
2020-03-01T00:00:00Z,2,1.6,sin semaforo
2020-03-02T00:00:00Z,5,2.4000001,sin semaforo
2020-03-03T00:00:00Z,5,3.2,sin semaforo
2020-03-04T00:00:00Z,5,3.8,sin semaforo
2020-03-05T00:00:00Z,2,3.8,sin semaforo
2020-03-06T00:00:00Z,6,4.5999999,sin semaforo
2020-03-07T00:00:00Z,10,5.5999999,sin semaforo
2020-03-08T00:00:00Z,7,6,sin semaforo
2020-03-09T00:00:00Z,24,9.8000002,sin semaforo
2020-03-10T00:00:00Z,27,14.8,sin semaforo
2020-03-11T00:00:00Z,25,18.6,sin semaforo
2020-03-12T00:00:00Z,21,20.799999,sin semaforo
2020-03-13T00:00:00Z,38,27,sin semaforo
2020-03-14T00:00:00Z,41,30.4,sin semaforo
2020-03-15T00:00:00Z,41,33.200001,sin semaforo
2020-03-16T00:00:00Z,52,38.599998,sin semaforo
2020-03-17T00:00:00Z,32,40.799999,sin semaforo
2020-03-18T00:00:00Z,32,39.599998,sin semaforo
2020-03-19T00:00:00Z,38,39,sin semaforo
2020-03-20T00:00:00Z,58,42.400002,sin semaforo
2020-03-21T00:00:00Z,30,38,sin semaforo
2020-03-22T00:00:00Z,35,38.599998,sin semaforo
2020-03-23T00:00:00Z,58,43.799999,sin semaforo
2020-03-24T00:00:00Z,53,46.799999,sin semaforo
2020-03-25T00:00:00Z,62,47.599998,sin semaforo
2020-03-26T00:00:00Z,97,61,sin semaforo
2020-03-27T00:00:00Z,78,69.599998,sin semaforo
2020-03-28T00:00:00Z,72,72.400002,sin semaforo
2020-03-29T00:00:00Z,68,75.400002,sin semaforo
2020-03-30T00:00:00Z,124,87.800003,sin semaforo
2020-03-31T00:00:00Z,93,87,sin semaforo
2020-04-01T00:00:00Z,160,103.4,sin semaforo
2020-04-02T00:00:00Z,138,116.6,sin semaforo
2020-04-03T00:00:00Z,135,130,sin semaforo
2020-04-04T00:00:00Z,148,134.8,sin semaforo
2020-04-05T00:00:00Z,154,147,sin semaforo
2020-04-06T00:00:00Z,190,153,sin semaforo
2020-04-07T00:00:00Z,176,160.60001,sin semaforo
2020-04-08T00:00:00Z,196,172.8,sin semaforo
2020-04-09T00:00:00Z,219,187,sin semaforo
2020-04-10T00:00:00Z,363,228.8,sin semaforo
2020-04-11T00:00:00Z,246,240,sin semaforo
2020-04-12T00:00:00Z,261,257,sin semaforo
2020-04-13T00:00:00Z,356,289,sin semaforo
2020-04-14T00:00:00Z,327,310.60001,sin semaforo
2020-04-15T00:00:00Z,431,324.20001,sin semaforo
2020-04-16T00:00:00Z,371,349.20001,sin semaforo
2020-04-17T00:00:00Z,446,386.20001,sin semaforo
2020-04-18T00:00:00Z,479,410.79999,sin semaforo
2020-04-19T00:00:00Z,428,431,sin semaforo
2020-04-20T00:00:00Z,751,495,sin semaforo
2020-04-21T00:00:00Z,435,507.79999,sin semaforo
2020-04-22T00:00:00Z,452,509,sin semaforo
2020-04-23T00:00:00Z,473,507.79999,sin semaforo
2020-04-24T00:00:00Z,584,539,sin semaforo
2020-04-25T00:00:00Z,588,506.39999,sin semaforo
2020-04-26T00:00:00Z,510,521.40002,sin semaforo
2020-04-27T00:00:00Z,676,566.20001,sin semaforo
2020-04-28T00:00:00Z,605,592.59998,sin semaforo
2020-04-29T00:00:00Z,489,573.59998,sin semaforo
2020-04-30T00:00:00Z,735,603,sin semaforo
2020-05-01T00:00:00Z,1119,724.79999,sin semaforo
2020-05-02T00:00:00Z,665,722.59998,sin semaforo
2020-05-03T00:00:00Z,684,738.40002,sin semaforo
2020-05-04T00:00:00Z,922,825,sin semaforo
2020-05-05T00:00:00Z,883,854.59998,sin semaforo
2020-05-06T00:00:00Z,801,791,sin semaforo
2020-05-07T00:00:00Z,856,829.20001,sin semaforo
2020-05-08T00:00:00Z,992,890.79999,sin semaforo
2020-05-09T00:00:00Z,834,873.20001,sin semaforo
2020-05-10T00:00:00Z,1231,942.79999,sin semaforo
2020-05-11T00:00:00Z,1058,994.20001,sin semaforo
2020-05-12T00:00:00Z,938,1010.6,sin semaforo
2020-05-13T00:00:00Z,891,990.40002,sin semaforo
2020-05-14T00:00:00Z,809,985.40002,sin semaforo
2020-05-15T00:00:00Z,1313,1001.8,sin semaforo
2020-05-16T00:00:00Z,966,983.40002,sin semaforo
2020-05-17T00:00:00Z,910,977.79999,sin semaforo
2020-05-18T00:00:00Z,1391,1077.8,sin semaforo
2020-05-19T00:00:00Z,910,1098,sin semaforo
2020-05-20T00:00:00Z,1525,1140.4,sin semaforo
2020-05-21T00:00:00Z,862,1119.6,sin semaforo
2020-05-22T00:00:00Z,1063,1150.2,sin semaforo
2020-05-23T00:00:00Z,898,1051.6,sin semaforo
2020-05-24T00:00:00Z,812,1032,sin semaforo
2020-05-25T00:00:00Z,1378,1002.6,sin semaforo
2020-05-26T00:00:00Z,970,1024.2,sin semaforo
2020-05-27T00:00:00Z,918,995.20001,sin semaforo
2020-05-28T00:00:00Z,1059,1027.4,sin semaforo
2020-05-29T00:00:00Z,952,1055.4,sin semaforo
2020-05-30T00:00:00Z,937,967.20001,sin semaforo
2020-05-31T00:00:00Z,871,947.40002,sin semaforo
2020-06-01T00:00:00Z,1675,1098.8,rojo
2020-06-02T00:00:00Z,982,1083.4,rojo
2020-06-03T00:00:00Z,905,1074,rojo
2020-06-04T00:00:00Z,965,1079.6,rojo
2020-06-05T00:00:00Z,1183,1142,rojo
2020-06-06T00:00:00Z,998,1006.6,rojo
2020-06-07T00:00:00Z,768,963.79999,rojo
2020-06-08T00:00:00Z,1058,994.40002,rojo
2020-06-09T00:00:00Z,835,968.40002,rojo
2020-06-10T00:00:00Z,1306,993,rojo
2020-06-11T00:00:00Z,850,963.40002,rojo
2020-06-12T00:00:00Z,955,1000.8,rojo
2020-06-13T00:00:00Z,785,946.20001,rojo
2020-06-14T00:00:00Z,654,910,rojo
2020-06-15T00:00:00Z,1258,900.40002,rojo
2020-06-16T00:00:00Z,895,909.40002,rojo
2020-06-17T00:00:00Z,729,864.20001,rojo
2020-06-18T00:00:00Z,949,897,rojo
2020-06-19T00:00:00Z,901,946.40002,rojo
2020-06-20T00:00:00Z,1271,949,rojo
2020-06-21T00:00:00Z,635,897,rojo
2020-06-22T00:00:00Z,858,922.79999,rojo
2020-06-23T00:00:00Z,802,893.40002,rojo
2020-06-24T00:00:00Z,773,867.79999,rojo
2020-06-25T00:00:00Z,992,812,rojo
2020-06-26T00:00:00Z,1105,906,rojo
2020-06-27T00:00:00Z,664,867.20001,rojo
2020-06-28T00:00:00Z,879,882.59998,rojo
2020-06-29T00:00:00Z,978,923.59998,naranja
2020-06-30T00:00:00Z,1015,928.20001,naranja
2020-07-01T00:00:00Z,1370,981.20001,naranja
2020-07-02T00:00:00Z,908,1030,naranja
2020-07-03T00:00:00Z,964,1047,naranja
2020-07-04T00:00:00Z,718,995,naranja
2020-07-05T00:00:00Z,831,958.20001,naranja
2020-07-06T00:00:00Z,899,864,naranja
2020-07-07T00:00:00Z,886,859.59998,naranja
2020-07-08T00:00:00Z,878,842.40002,naranja
2020-07-09T00:00:00Z,840,866.79999,naranja
2020-07-10T00:00:00Z,1472,995,naranja
2020-07-11T00:00:00Z,734,962,naranja
2020-07-12T00:00:00Z,776,940,naranja
2020-07-13T00:00:00Z,1166,997.59998,naranja
2020-07-14T00:00:00Z,878,1005.2,naranja
2020-07-15T00:00:00Z,1369,984.59998,naranja
2020-07-16T00:00:00Z,926,1023,naranja
2020-07-17T00:00:00Z,1150,1097.8,naranja
2020-07-18T00:00:00Z,985,1061.6,naranja
2020-07-19T00:00:00Z,778,1041.6,naranja
2020-07-20T00:00:00Z,1660,1099.8,naranja
2020-07-21T00:00:00Z,1016,1117.8,naranja
2020-07-22T00:00:00Z,927,1073.2,naranja
2020-07-23T00:00:00Z,951,1066.4,naranja
2020-07-24T00:00:00Z,969,1104.6,naranja
2020-07-25T00:00:00Z,1045,981.59998,naranja
2020-07-26T00:00:00Z,746,927.59998,naranja
2020-07-27T00:00:00Z,1134,969,naranja
2020-07-28T00:00:00Z,921,963,naranja
2020-07-29T00:00:00Z,838,936.79999,naranja
2020-07-30T00:00:00Z,909,909.59998,naranja
2020-07-31T00:00:00Z,801,920.59998,naranja
2020-08-01T00:00:00Z,1298,953.40002,naranja
2020-08-02T00:00:00Z,702,909.59998,naranja
2020-08-03T00:00:00Z,959,933.79999,naranja
2020-08-04T00:00:00Z,832,918.40002,naranja
2020-08-05T00:00:00Z,985,955.20001,naranja
2020-08-06T00:00:00Z,749,845.40002,naranja
2020-08-07T00:00:00Z,989,902.79999,naranja
2020-08-08T00:00:00Z,822,875.40002,naranja
2020-08-09T00:00:00Z,594,827.79999,naranja
2020-08-10T00:00:00Z,1435,917.79999,naranja
2020-08-11T00:00:00Z,933,954.59998,naranja
2020-08-12T00:00:00Z,893,935.40002,naranja
2020-08-13T00:00:00Z,823,935.59998,naranja
2020-08-14T00:00:00Z,1001,1017,naranja
2020-08-15T00:00:00Z,1096,949.20001,naranja
2020-08-16T00:00:00Z,738,910.20001,naranja
2020-08-17T00:00:00Z,1096,950.79999,naranja
2020-08-18T00:00:00Z,1166,1019.4,naranja
2020-08-19T00:00:00Z,901,999.40002,naranja
2020-08-20T00:00:00Z,1775,1135.2,naranja
2020-08-21T00:00:00Z,1111,1209.8,naranja
2020-08-22T00:00:00Z,895,1169.6,naranja
2020-08-23T00:00:00Z,772,1090.8,naranja
2020-08-24T00:00:00Z,1213,1153.2,naranja
2020-08-25T00:00:00Z,1294,1057,naranja
2020-08-26T00:00:00Z,1037,1042.2,naranja
2020-08-27T00:00:00Z,1119,1087,naranja
2020-08-28T00:00:00Z,1460,1224.6,naranja
2020-08-29T00:00:00Z,873,1156.6,naranja
2020-08-30T00:00:00Z,952,1088.2,naranja
2020-08-31T00:00:00Z,1201,1121,naranja
2020-09-01T00:00:00Z,1798,1256.8,naranja
2020-09-02T00:00:00Z,1179,1200.6,naranja
2020-09-03T00:00:00Z,1040,1234,naranja
2020-09-04T00:00:00Z,1066,1256.8,naranja
2020-09-05T00:00:00Z,1025,1221.6,naranja
2020-09-06T00:00:00Z,689,999.79999,naranja
2020-09-07T00:00:00Z,1091,982.20001,naranja
2020-09-08T00:00:00Z,1110,996.20001,naranja
2020-09-09T00:00:00Z,1063,995.59998,naranja
2020-09-10T00:00:00Z,1321,1054.8,naranja
2020-09-11T00:00:00Z,917,1100.4,naranja
2020-09-12T00:00:00Z,722,1026.6,naranja
2020-09-13T00:00:00Z,593,923.20001,naranja
2020-09-14T00:00:00Z,1047,920,naranja
2020-09-15T00:00:00Z,1207,897.20001,naranja
2020-09-16T00:00:00Z,744,862.59998,naranja
2020-09-17T00:00:00Z,985,915.20001,naranja
2020-09-18T00:00:00Z,1177,1032,naranja
2020-09-19T00:00:00Z,949,1012.4,naranja
2020-09-20T00:00:00Z,1283,1027.6,naranja
2020-09-21T00:00:00Z,1090,1096.8,naranja
2020-09-22T00:00:00Z,979,1095.6,naranja
2020-09-23T00:00:00Z,963,1052.8,naranja
2020-09-24T00:00:00Z,928,1048.6,naranja
2020-09-25T00:00:00Z,1197,1031.4,naranja
2020-09-26T00:00:00Z,869,987.20001,naranja
2020-09-27T00:00:00Z,813,954,naranja
2020-09-28T00:00:00Z,1119,985.20001,naranja
2020-09-29T00:00:00Z,1126,1024.8,naranja
2020-09-30T00:00:00Z,1048,995,naranja
2020-10-01T00:00:00Z,1577,1136.6,naranja
2020-10-02T00:00:00Z,933,1160.6,naranja
2020-10-03T00:00:00Z,828,1102.4,naranja
2020-10-04T00:00:00Z,742,1025.6,naranja
2020-10-05T00:00:00Z,1351,1086.2,naranja
2020-10-06T00:00:00Z,1038,978.40002,naranja
2020-10-07T00:00:00Z,1176,1027,naranja
2020-10-08T00:00:00Z,1121,1085.6,naranja
2020-10-09T00:00:00Z,1065,1150.2,naranja
2020-10-10T00:00:00Z,1778,1235.6,naranja
2020-10-11T00:00:00Z,947,1217.4,naranja
2020-10-12T00:00:00Z,1441,1270.4,naranja
2020-10-13T00:00:00Z,1250,1296.2,naranja
2020-10-14T00:00:00Z,1190,1321.2,naranja
2020-10-15T00:00:00Z,1631,1291.8,naranja
2020-10-16T00:00:00Z,1496,1401.6,naranja
2020-10-17T00:00:00Z,1213,1356,naranja
2020-10-18T00:00:00Z,1238,1353.6,naranja
2020-10-19T00:00:00Z,1794,1474.4,naranja
2020-10-20T00:00:00Z,2390,1626.2,naranja
2020-10-21T00:00:00Z,1482,1623.4,naranja
2020-10-22T00:00:00Z,1477,1676.2,naranja
2020-10-23T00:00:00Z,1560,1740.6,naranja
2020-10-24T00:00:00Z,1188,1619.4,naranja
2020-10-25T00:00:00Z,1444,1430.2,naranja
2020-10-26T00:00:00Z,1855,1504.8,naranja
2020-10-27T00:00:00Z,1563,1522,naranja
2020-10-28T00:00:00Z,1624,1534.8,naranja
2020-10-29T00:00:00Z,1342,1565.6,naranja
2020-10-30T00:00:00Z,1589,1594.6,naranja
2020-10-31T00:00:00Z,1027,1429,naranja
2020-11-01T00:00:00Z,1919,1500.2,naranja
2020-11-02T00:00:00Z,1509,1477.2,naranja
2020-11-03T00:00:00Z,1877,1584.2,naranja
2020-11-04T00:00:00Z,1435,1553.4,naranja
2020-11-05T00:00:00Z,1694,1686.8,naranja
2020-11-06T00:00:00Z,1631,1629.2,naranja
2020-11-07T00:00:00Z,1400,1607.4,naranja
2020-11-08T00:00:00Z,1183,1468.6,naranja
2020-11-09T00:00:00Z,2032,1588,naranja
2020-11-10T00:00:00Z,2141,1677.4,naranja
2020-11-11T00:00:00Z,1742,1699.6,naranja
2020-11-12T00:00:00Z,1501,1719.8,naranja
2020-11-13T00:00:00Z,1412,1765.6,naranja
2020-11-14T00:00:00Z,1296,1618.4,naranja
2020-11-15T00:00:00Z,1637,1517.6,naranja
2020-11-16T00:00:00Z,1578,1484.8,naranja
2020-11-17T00:00:00Z,1882,1561,naranja
2020-11-18T00:00:00Z,1866,1651.8,naranja
2020-11-19T00:00:00Z,1662,1725,naranja
2020-11-20T00:00:00Z,2937,1985,naranja
2020-11-21T00:00:00Z,1794,2028.2,naranja
2020-11-22T00:00:00Z,1740,1999.8,naranja
2020-11-23T00:00:00Z,2495,2125.6001,naranja
2020-11-24T00:00:00Z,2102,2213.6001,naranja
2020-11-25T00:00:00Z,2481,2122.3999,naranja
2020-11-26T00:00:00Z,2011,2165.8,naranja
2020-11-27T00:00:00Z,2221,2262,naranja
2020-11-28T00:00:00Z,2290,2221,naranja
2020-11-29T00:00:00Z,1873,2175.2,naranja
2020-11-30T00:00:00Z,3253,2329.6001,naranja
2020-12-01T00:00:00Z,3160,2559.3999,naranja
2020-12-02T00:00:00Z,2385,2592.2,naranja
2020-12-03T00:00:00Z,2152,2564.6001,naranja
2020-12-04T00:00:00Z,2099,2609.8,naranja
2020-12-05T00:00:00Z,1679,2295,naranja
2020-12-06T00:00:00Z,972,1857.4,naranja
2020-12-07T00:00:00Z,1430,1666.4,naranja
2020-12-08T00:00:00Z,766,1389.2,naranja
2020-12-09T00:00:00Z,635,1096.4,naranja
